1,司机,863
2,便宜,620
3,出租车,548
4,分配,524
5,生产力,492
6,网约车,450
7,发展,401
8,哈哈哈,317
9,支持,305
10,垄断,301
11,技术,294
12,平台,281
13,生产关系,253
14,确实,250
15,反对,248
16,AI,243
17,科技,242
18,ai,240
19,社会,234
20,无人驾驶,234
21,企业,229
22,科技进步,223
23,涨价,218
24,时间,216
25,价格,208
26,失业,205
27,收入,204
28,无人,198
29,解决,189
30,工人,188
31,前列,187
32,利润,182
33,滴滴,182
34,时代,181
35,幻想,176
36,哈哈哈哈,166
37,补贴,165
38,国家,164
39,工资,162
40,成本,162
41,过剩,155
42,取代,152
43,岗位,146
44,不用,145
45,普通人,145
46,萝卜,145
47,行业,145
48,落后,144
49,市场,142
50,公司,140
51,只能,136
52,增加,135
53,汽车,135
54,劳动,132
55,赛博,128
56,真的,125
57,做梦,124
58,分配制度,123
59,消费者,121
60,打车,120
61,朋克,117
62,提高,117
63,一部分,114
64,这是,112
65,减少,110
66,驾驶,110
67,获利,108
68,先进,107
69,东西,107
70,消费,107
71,马克思,103
72,就业,102
73,一针见血,101
74,有人,101
75,人类,101
76,服务,99
77,劳动力,95
78,人口,93
79,外卖,93
80,人工智能,93
81,乘客,92
82,保护,92
83,生活,91
84,太对,89
85,电车,86
86,开车,86
87,不到,86
88,解放,86
89,工厂,86
90,自动,85
91,大部分,84
92,关键,84
93,淘汰,83
94,机器,82
95,越来越,79
96,200,78
97,工会,77
98,互联网,76
99,肯定,75
100,改变,75
101,赚钱,73
102,希望,73
103,文明,72
104,矛盾,70
105,利益,70
106,出路,70
107,不好,70
108,底层,70
109,国内,69
110,孩子,68
111,单子,68
112,低价,67
113,马车,67
114,两个,66
115,早就,66
116,剩余价值,66
117,关系,66
118,老板,65
119,视频,65
120,路灯,65
121,蛋糕,64
122,抽成,64
123,财富,64
124,三个,64
125,斗争,63
126,更好,63
127,是因为,63
128,原因,63
129,本质,62
130,工业革命,62
131,小时,62
132,降低,61
133,梦里,61
134,机器人,61
135,感觉,60
136,退休,60
137,唯一,60
138,出租,60
139,经济,59
140,人太多,59
141,当年,59
142,争议,59
143,下岗,58
144,创造,57
145,安全员,57
146,说得好,56
147,公有制,55
148,抢占市场,55
149,导致,54
150,道理,54
151,工作制,54
152,这句,54
153,群众,54
154,武汉,53
155,公平,52
156,一点,51
157,降本增效,51
158,享受,50
159,遥遥领先,50
160,唯物主义,50
161,地方,50
162,群体,50
163,活在,50
164,开发,49
165,出行,49
166,没人,49
167,理解,49
168,doge,48
169,世界,48
170,永远,48
171,美团,48
172,大学,48
173,简单,48
174,下降,47
175,生命,47
176,回收,46
177,共享,46
178,私有制,46
179,经济危机,46
180,收益,46
181,现实,45
182,多拉,45
183,搞笑,45
184,情况,44
185,优化,44
186,一句,44
187,制度,44
188,产能,44
189,加速,43
190,全是,43
191,未来,43
192,调控,43
193,手里,43
194,影响,43
195,好事,43
196,方式,42
197,算法,42
198,带来,42
199,通透,42
200,暂时,42
201,资源,42
202,反正,42
203,宁德,42
204,高科技,41
205,代价,41
206,资产阶级,41
207,全民,41
208,历史,41
209,分析,41
210,国外,40
211,效率,40
212,几个,40
213,素质,40
214,说白了,40
215,人工,40
216,只会,40
217,烧钱,40
218,拒载,40
219,竞争,40
220,欧美,39
221,放弃,39
222,提升,39
223,城市,39
224,来过,39
225,人力,39
226,本来,38
227,单车,38
228,员工,38
229,油车,38
230,工时,38
231,这话,38
232,观点,38
233,产品,38
234,跟上,38
235,生产过剩,38
236,恐惧,38
237,重点,38
238,人性,38
239,指望,38
240,职业,37
241,画师,37
242,压榨,37
243,传统,37
244,教育,37
245,感谢,36
246,劳动者,36
247,需求,36
248,欧洲,36
249,发生,36
250,生产资料,36
251,说话,36
252,人多,36
253,到位,36
254,办法,36
255,实际上,36
256,下雨天,36
257,方法,35
258,选择,35
259,书名号,35
